2489,-1929.8526
2488,-1929.8526
19446,-1929.7780
15296,-1929.7662
13303,-1929.7250
14257,-1929.7157
14255,-1929.7157
19115,-1929.6981
19114,-1929.6981
185,-1929.6865
15278,-1929.6794
15003,-1929.6477
8226,-1929.6437
12361,-1929.6404
12362,-1929.6404
12365,-1929.6404
6068,-1929.6125
2299,-1929.6106
17968,-1929.5785
17972,-1929.5785
17973,-1929.5785
2587,-1929.5367
15571,-1929.5214
4737,-1929.5202
6110,-1929.4967
10507,-1929.4941
4373,-1929.4882
17506,-1929.4692
18998,-1929.4625
5198,-1929.4570
1590,-1929.4568
6998,-1929.4423
18840,-1929.4389
14473,-1929.4243
9602,-1929.3867
6387,-1929.3756
15563,-1929.3717
15564,-1929.3717
6949,-1929.3514
3122,-1929.3451
6385,-1929.3331
6384,-1929.3331
6383,-1929.3331
8729,-1929.3327
4463,-1929.3278
15255,-1929.3086
11640,-1929.3068
14207,-1929.3029
6332,-1929.2988
9548,-1929.2951
21923,-1929.2941
18120,-1929.2929
16311,-1929.2892
4422,-1929.2770
11065,-1929.2684
14327,-1929.2598
191,-1929.2556
12787,-1929.2551
17667,-1929.2454
6414,-1929.2390
14979,-1929.2350
15760,-1929.2324
1595,-1929.2323
1591,-1929.2323
1589,-1929.2323
1592,-1929.2323
2486,-1929.2295
18783,-1929.2217
9605,-1929.2215
4090,-1929.2070
7293,-1929.1959
8728,-1929.1918
20585,-1929.1888
7287,-1929.1803
10007,-1929.1763
8554,-1929.1726
4183,-1929.1718
9714,-1929.1675
9710,-1929.1675
9717,-1929.1675
9711,-1929.1675
9713,-1929.1675
9716,-1929.1675
21706,-1929.1651
4206,-1929.1635
4949,-1929.1555
14186,-1929.1554
18799,-1929.1548
6730,-1929.1481
17512,-1929.1191
19985,-1929.1181
5141,-1929.1109
8173,-1929.1077
2490,-1929.0973
16101,-1929.0971
9698,-1929.0949
9859,-1929.0901
9862,-1929.0901
9861,-1929.0901
9857,-1929.0901
